Code;Libellé;Libellé ticket de caisse;Famille;Marque;Prix d'achat HT;Prix de vente HT;Tva;Prix de vente TTC;Quantité;Poids (Kg);Unité;Désignation;Observations;Quantité d'Alerte
ART0369;AVRAN OZFOOD 20X250ML;;SNACK;;90.1000;103.6000;6.0000;109.8200;0;;;AVRAN OZFOOD 20X250ML;;
ART0439;KETCHUP PAUWELS 10L;;SNACK;;87.9000;23.4906;6.0000;24.9000;0;;;KETCHUP PAUWELS 10L;;
ART0455;PAIN HAMBURGER NUMBER ONE 24 X 826;;SNACK;;63.3000;72.8000;6.0000;77.1700;0;;;PAIN HAMBURGER NUMBER ONE 24 X 826;;
ART0509;VIANDE POULET BEY SKG;;SNACK;;62.3000;71.6000;6.0000;75.9000;0;;;VIANDE POULET BEY SKG;;
ART0438;KETCHUP OZFOOD 6L;;SNACK;;61.8000;71.1000;6.0000;75.3700;0;;;KETCHUP OZFOOD 6L;;
ART0382;CAROTTES RAPÉES VICTORIA 4 KG;;SNACK;;40.6000;46.7000;6.0000;49.5000;0;;;CAROTTES RAPÉES VICTORIA 4 KG;;
ART0457;PAIN HAMBURGER PASTRIDOR 30 PIECES 11.8CM/776R2127;;SNACK;;39.6000;45.5000;6.0000;48.2300;0;;;PAIN HAMBURGER PASTRIDOR 30 PIECES 11.8CM/776R2127;;
ART0376;BRAZIL 3 KG PAUWELS;;SNACK;;35.8000;41.2000;6.0000;43.6700;0;;;BRAZIL 3 KG PAUWELS;;
ART0429;HUILE D'OLIVE 1L BINGOIL;;SNACK;;29.2000;33.6000;6.0000;35.6200;0;;;HUILE D'OLIVE 1L BINGOIL;;
ART0415;FRITES BELGES 12/12 4X2.5KG LUTOSA;;SNACK;;28.5000;32.8000;6.0000;34.7700;0;;;FRITES BELGES 12/12 4X2.5KG LUTOSA;;
ART0377;BROCHETTE DE DINDE PRO HALAL 21 X 135G VAN REUSEL;;SNACK;;25.5000;29.3000;6.0000;31.0600;0;;;BROCHETTE DE DINDE PRO HALAL 21 X 135G VAN REUSEL;;
